0
2001
# eps (GeV/fm^3)  P (GeV/fm^3)      s (fm^-3)      n_b (fm^-3)      x                T (GeV)       mu_b (GeV)     mu_s (GeV)      c_2^2            deps/dT|(n/s)
   0.0            0.0              0.0            0.0            0.0               0.0            0.0            0.0              0.0                       0.0
   0.1550000000   0.0257749972     1.2878489339   0.0000000000   0.0000000000	   0.1308976816   0.0000000000   0.0000000000	  0.17416327474249915        3.8839991951202579     
   0.1570000000   0.0261234818     1.3020833573  -0.0000000000   0.0000000000	   0.1314106403   0.0000000000   0.0000000000	  0.17432142405418063        3.9139009091705796     
   0.1590000000   0.0264722832     1.3162907054   0.0000000000   0.0000000000	   0.1319197082   0.0000000000   0.0000000000	  0.17448016946750117        3.9435982647282186     
   0.1610000000   0.0268214027     1.3304713472   0.0000000000   0.0000000000	   0.1324249697   0.0000000000   0.0000000000	  0.17463945784077964        3.9730969591943630     
   0.1630000000   0.0271708413     1.3446256420  -0.0000000000   0.0000000000	   0.1329265058   0.0000000000   0.0000000000	  0.17479923814595930        4.0024024990565605     
   0.1650000000   0.0275205999     1.3587539397  -0.0000000000   0.0000000000	   0.1334243947   0.0000000000   0.0000000000	  0.17495946153066785        4.0315201927650159     
   0.1670000000   0.0278706793     1.3728565809   0.0000000000   0.0000000000	   0.1339187117   0.0000000000   0.0000000000	  0.17512008107452257        4.0604551762441377     
   0.1690000000   0.0282210804     1.3869338983   0.0000000000   0.0000000000	   0.1344095295   0.0000000000   0.0000000000	  0.17528105178246095        4.0892124152101781     
   0.1710000000   0.0285718037     1.4009862142   0.0000000000   0.0000000000	   0.1348969179   0.0000000000   0.0000000000	  0.17544233060005640        4.1177966924155829     
   0.1730000000   0.0289228498     1.4150138446   0.0000000000   0.0000000000	   0.1353809446   0.0000000000   0.0000000000	  0.17560387623302820        4.1462126416837117     
   0.1750000000   0.0292742193     1.4290170972  -0.0000000000   0.0000000000	   0.1358616749   0.0000000000   0.0000000000	  0.17576564917269782        4.1744647271224817     
   0.1770000000   0.0296259125     1.4429962720   0.0000000000   0.0000000000	   0.1363391717   0.0000000000   0.0000000000	  0.17592761154734909        4.2025572725070113     
   0.1790000000   0.0299779298     1.4569516620   0.0000000000   0.0000000000	   0.1368134960   0.0000000000   0.0000000000	  0.17608972713460372        4.2304944501468027     
   0.1810000000   0.0303302714     1.4708835531  -0.0000000000   0.0000000000	   0.1372847067   0.0000000000   0.0000000000	  0.17625196127105211        4.2582802917620510     
   0.1830000000   0.0306829376     1.4847922243   0.0000000000   0.0000000000	   0.1377528608   0.0000000000   0.0000000000	  0.17641428080079666        4.2859186925886750     
   0.1850000000   0.0310359285     1.4986779484   0.0000000000   0.0000000000	   0.1382180134   0.0000000000   0.0000000000	  0.17657665400033848        4.3134134193696960     
